id,text,type,topic,target_valence,length_char,notes
A001,"새 단지, 접근성 향상… 다만 혼잡 우려",amb,생활,-0.13,22,양가 단서
A002,"검진 제도, 만족도 개선… 다만 비용 인상",amb,건강,0.13,23,양가 단서
A003,"연구실 운영, 편의 상승… 다만 비용 인상",amb,교육,0.09,23,양가 단서
A004,"전시 일정, 만족도 개선… 다만 학습 곡선",amb,여가,-0.09,23,양가 단서
A005,"비용 구조, 만족도 개선… 다만 학습 곡선",amb,경제,-0.09,23,양가 단서
A006,"보안 정책, 호응 확대… 다만 불편 호소",amb,기술,0.09,22,양가 단서
A007,"공원 시설, 편의 상승… 다만 혼잡 우려",amb,생활,0.11,22,양가 단서
A008,"연구 프로젝트, 편의 상승… 다만 비용 인상",amb,과학,-0.11,24,양가 단서
A009,"평가 제도, 만족도 개선… 다만 학습 곡선",amb,교육,-0.05,23,양가 단서
A010,"전시 일정, 호응 확대… 다만 비용 인상",amb,여가,-0.11,22,양가 단서
A011,"지원 제도, 접근성 향상… 다만 비용 인상",amb,경제,0.07,23,양가 단서
A012,"클라우드 요금, 효율 증가… 다만 혼잡 우려",amb,기술,0.0,24,양가 단서
A013,"지역 축제, 효율 증가… 다만 학습 곡선",amb,생활,-0.08,22,양가 단서
A014,"수면 프로그램, 편의 상승… 다만 학습 곡선",amb,건강,-0.06,24,양가 단서
A015,"신형 분석기, 편의 상승… 다만 제약 증가",amb,과학,0.1,23,양가 단서
A016,"도서관 규정, 편의 상승… 다만 제약 증가",amb,교육,0.06,23,양가 단서
A017,"체험 행사, 편의 상승… 다만 비용 인상",amb,여가,-0.05,22,양가 단서
A018,"가격 정책, 편의 상승… 다만 불편 호소",amb,경제,-0.07,22,양가 단서
A019,"공원 시설, 접근성 향상… 다만 혼잡 우려",amb,생활,-0.01,23,양가 단서
A020,"수면 프로그램, 효율 증가… 다만 비용 인상",amb,건강,0.09,24,양가 단서
A021,"신형 분석기, 접근성 향상… 다만 불편 호소",amb,과학,-0.02,24,양가 단서
A022,"강의 방식, 효율 증가… 다만 혼잡 우려",amb,교육,0.1,22,양가 단서
A023,"체험 행사, 효율 증가… 다만 비용 인상",amb,여가,-0.06,22,양가 단서
A024,"상권 재편, 호응 확대… 다만 혼잡 우려",amb,경제,0.14,22,양가 단서
A025,"클라우드 요금, 편의 상승… 다만 비용 인상",amb,기술,0.1,24,양가 단서
A026,"지역 축제, 효율 증가… 다만 비용 인상",amb,생활,0.07,22,양가 단서
A027,"검진 제도, 만족도 개선… 다만 학습 곡선",amb,건강,-0.13,23,양가 단서
A028,"관측 계획, 접근성 향상… 다만 혼잡 우려",amb,과학,0.05,23,양가 단서
A029,"도서관 규정, 호응 확대… 다만 제약 증가",amb,교육,0.11,23,양가 단서
A030,"야외 공연, 호응 확대… 다만 학습 곡선",amb,여가,-0.06,22,양가 단서
A031,"소비 트렌드, 접근성 향상… 다만 학습 곡선",amb,경제,-0.09,24,양가 단서
A032,"공원 시설, 호응 확대… 다만 비용 인상",amb,생활,0.08,22,양가 단서
A033,"관측 계획, 접근성 향상… 다만 학습 곡선",amb,과학,-0.14,23,양가 단서
A034,"평가 제도, 편의 상승… 다만 불편 호소",amb,교육,-0.07,22,양가 단서
A035,"관광 패스, 호응 확대… 다만 혼잡 우려",amb,여가,-0.15,22,양가 단서
A036,"가격 정책, 접근성 향상… 다만 제약 증가",amb,경제,-0.13,23,양가 단서
A037,"모바일 기기, 편의 상승… 다만 학습 곡선",amb,기술,-0.09,23,양가 단서
A038,"공공 서비스, 효율 증가… 다만 혼잡 우려",amb,생활,-0.1,23,양가 단서
A039,"검진 제도, 호응 확대… 다만 학습 곡선",amb,건강,0.03,22,양가 단서
A040,"신형 분석기, 만족도 개선… 다만 불편 호소",amb,과학,0.08,24,양가 단서
A041,"커리큘럼 개편, 편의 상승… 다만 혼잡 우려",amb,교육,-0.02,24,양가 단서
A042,"체험 행사, 효율 증가… 다만 학습 곡선",amb,여가,-0.02,22,양가 단서
A043,"상권 재편, 만족도 개선… 다만 학습 곡선",amb,경제,-0.12,23,양가 단서
A044,"클라우드 요금, 편의 상승… 다만 혼잡 우려",amb,기술,0.05,24,양가 단서
A045,"공원 시설, 효율 증가… 다만 학습 곡선",amb,생활,0.05,22,양가 단서
A046,"운동 캠페인, 만족도 개선… 다만 제약 증가",amb,건강,0.15,24,양가 단서
A047,"신형 분석기, 편의 상승… 다만 불편 호소",amb,과학,-0.06,23,양가 단서
A048,"강의 방식, 만족도 개선… 다만 혼잡 우려",amb,교육,-0.06,23,양가 단서
A049,"야외 공연, 편의 상승… 다만 제약 증가",amb,여가,0.07,22,양가 단서
A050,"가격 정책, 만족도 개선… 다만 제약 증가",amb,경제,0.01,23,양가 단서
A051,"보안 정책, 접근성 향상… 다만 학습 곡선",amb,기술,0.1,23,양가 단서
A052,"새 단지, 편의 상승… 다만 제약 증가",amb,생활,0.11,21,양가 단서
A053,"운동 캠페인, 효율 증가… 다만 비용 인상",amb,건강,-0.01,23,양가 단서
A054,"신형 분석기, 호응 확대… 다만 학습 곡선",amb,과학,-0.02,23,양가 단서
A055,"도서관 규정, 효율 증가… 다만 혼잡 우려",amb,교육,-0.12,23,양가 단서
A056,"야외 공연, 호응 확대… 다만 불편 호소",amb,여가,0.09,22,양가 단서
A057,"비용 구조, 효율 증가… 다만 혼잡 우려",amb,경제,-0.12,22,양가 단서
A058,"모바일 기기, 만족도 개선… 다만 제약 증가",amb,기술,0.03,24,양가 단서
A059,"공원 시설, 편의 상승… 다만 제약 증가",amb,생활,0.11,22,양가 단서
A060,"검진 제도, 만족도 개선… 다만 혼잡 우려",amb,건강,0.08,23,양가 단서
A061,"신형 분석기, 접근성 향상… 다만 비용 인상",amb,과학,0.01,24,양가 단서
A062,"강의 방식, 호응 확대… 다만 혼잡 우려",amb,교육,0.07,22,양가 단서
A063,"전시 일정, 만족도 개선… 다만 비용 인상",amb,여가,-0.11,23,양가 단서
A064,"가격 정책, 만족도 개선… 다만 학습 곡선",amb,경제,-0.1,23,양가 단서
A065,"공원 시설, 접근성 향상… 다만 제약 증가",amb,생활,0.05,23,양가 단서
A066,"데이터 공개, 만족도 개선… 다만 제약 증가",amb,과학,-0.13,24,양가 단서
A067,"도서관 규정, 호응 확대… 다만 혼잡 우려",amb,교육,0.03,23,양가 단서
A068,"관광 패스, 접근성 향상… 다만 비용 인상",amb,여가,-0.06,23,양가 단서
A069,"지원 제도, 편의 상승… 다만 비용 인상",amb,경제,-0.04,22,양가 단서
A070,"새 업데이트, 편의 상승… 다만 비용 인상",amb,기술,0.03,23,양가 단서
A071,"공원 시설, 효율 증가… 다만 제약 증가",amb,생활,0.02,22,양가 단서
A072,"운동 캠페인, 효율 증가… 다만 학습 곡선",amb,건강,0.05,23,양가 단서
A073,"데이터 공개, 접근성 향상… 다만 제약 증가",amb,과학,0.0,24,양가 단서
A074,"커리큘럼 개편, 효율 증가… 다만 비용 인상",amb,교육,0.09,24,양가 단서
A075,"관광 패스, 편의 상승… 다만 학습 곡선",amb,여가,0.04,22,양가 단서
A076,"소비 트렌드, 만족도 개선… 다만 제약 증가",amb,경제,0.15,24,양가 단서
A077,"새 단지, 호응 확대… 다만 제약 증가",amb,생활,-0.03,21,양가 단서
A078,"검진 제도, 접근성 향상… 다만 비용 인상",amb,건강,0.09,23,양가 단서
A079,"데이터 공개, 편의 상승… 다만 혼잡 우려",amb,과학,-0.12,23,양가 단서
A080,"공연 좌석, 만족도 개선… 다만 혼잡 우려",amb,여가,-0.13,23,양가 단서
A081,"가격 정책, 호응 확대… 다만 혼잡 우려",amb,경제,0.14,22,양가 단서
A082,"지역 축제, 호응 확대… 다만 학습 곡선",amb,생활,-0.04,22,양가 단서
A083,"평가 제도, 만족도 개선… 다만 불편 호소",amb,교육,-0.05,23,양가 단서
A084,"체험 행사, 만족도 개선… 다만 불편 호소",amb,여가,0.15,23,양가 단서
A085,"가격 정책, 편의 상승… 다만 혼잡 우려",amb,경제,0.1,22,양가 단서
A086,"모바일 기기, 접근성 향상… 다만 학습 곡선",amb,기술,0.1,24,양가 단서
A087,"강의 방식, 효율 증가… 다만 비용 인상",amb,교육,-0.03,22,양가 단서
A088,"전시 일정, 효율 증가… 다만 학습 곡선",amb,여가,-0.06,22,양가 단서
A089,"지원 제도, 만족도 개선… 다만 학습 곡선",amb,경제,-0.08,23,양가 단서
A090,"헬스장 정책, 접근성 향상… 다만 학습 곡선",amb,건강,-0.02,24,양가 단서
A091,"평가 제도, 편의 상승… 다만 제약 증가",amb,교육,0.11,22,양가 단서
A092,"공연 좌석, 편의 상승… 다만 학습 곡선",amb,여가,0.11,22,양가 단서
A093,"상권 재편, 편의 상승… 다만 불편 호소",amb,경제,-0.07,22,양가 단서
