id,text,type,topic,target_valence,length_char,notes
A277,온라인 수업이(가) 개선됐지만 일부 불편이 남아 있다.,amb,교육,-0.09,30,모호 문장
N056,클라우드 서비스에서 오류가 발생해 서비스가 중단됐다.,neg,기술,-0.82,29,부정 문장
A178,신형 장비이(가) 관심을 끌었지만 논란도 함께 제기됐다.,amb,과학,0.03,31,모호 문장
P008,지역 축제이(가) 개선되어 주민들의 만족도가 높아졌다.,pos,생활,0.87,30,긍정 문장
N058,운동 프로그램이(가) 악화되며 우려의 목소리가 커지고 있다.,neg,건강,-0.85,33,부정 문장
P038,실험 계획이(가) 새롭게 개편되어 이용이 편리해졌다.,pos,과학,0.75,29,긍정 문장
A274,주차장이(가) 개선됐지만 일부 불편이 남아 있다.,amb,생활,-0.14,27,모호 문장
P032,교수 평가 제도이(가) 도입되어 업무 효율이 높아졌다.,pos,교육,0.91,30,긍정 문장
A120,공공시설이(가) 순조롭게 진행되다가 예기치 못한 변수가 생겼다.,amb,생활,0.11,35,모호 문장
A069,소비 지원 정책이(가) 개선됐지만 일부 불편이 남아 있다.,amb,경제,0.12,32,모호 문장
A040,체험 행사이(가) 기대를 모았으나 반응은 엇갈리고 있다.,amb,여가,-0.09,31,모호 문장
N083,창업 지원 제도이(가) 취소되어 아쉬움을 남겼다.,neg,경제,-0.95,27,부정 문장
N066,데이터 분석 시스템이(가) 논란에 휩싸였다.,neg,과학,-0.89,24,부정 문장
N025,교육 커리큘럼에서 오류가 발생해 서비스가 중단됐다.,neg,교육,-0.99,28,부정 문장
N019,문화 공연에서 오류가 발생해 서비스가 중단됐다.,neg,여가,-0.88,26,부정 문장
A088,온라인 수업이(가) 호평과 비판을 동시에 받고 있다.,amb,교육,-0.13,29,모호 문장
A293,창업 지원 제도이(가) 활성화됐지만 운영 방식에는 의문이 남는다.,amb,경제,0.08,36,모호 문장
N008,공공시설이(가) 감소세를 보이고 있다.,neg,생활,-0.74,21,부정 문장
N047,체험 행사이(가) 취소되어 아쉬움을 남겼다.,neg,여가,-0.79,24,부정 문장
P116,교양 강좌이(가) 꾸준히 증가하고 있다.,pos,교육,0.83,22,긍정 문장
A285,체험 행사이(가) 일부 개선됐으나 문제 해결은 미비하다.,amb,여가,-0.05,31,모호 문장
A206,실험 계획이(가) 관심을 끌었지만 논란도 함께 제기됐다.,amb,과학,-0.14,31,모호 문장
A026,문화 공연이(가) 관심을 끌었지만 논란도 함께 제기됐다.,amb,여가,0.15,31,모호 문장
A226,병원 예약 시스템이(가) 일부 개선됐으나 문제 해결은 미비하다.,amb,건강,-0.15,35,모호 문장
A153,소비 지원 정책이(가) 순조롭게 진행되다가 예기치 못한 변수가 생겼다.,amb,경제,-0.14,39,모호 문장
P078,공공시설이(가) 정상화되어 서비스가 안정됐다.,pos,생활,0.84,25,긍정 문장
N073,신형 장비이(가) 파손돼 이용이 제한됐다.,neg,과학,-0.76,23,부정 문장
A036,주차장이(가) 확장됐으나 비용 증가가 우려된다.,amb,생활,-0.11,26,모호 문장
N104,소비 지원 정책이(가) 부진을 면치 못하고 있다.,neg,경제,-0.71,27,부정 문장
P117,문화 공연이(가) 정상화되어 서비스가 안정됐다.,pos,여가,0.83,26,긍정 문장
A112,신형 스마트폰이(가) 활성화됐지만 운영 방식에는 의문이 남는다.,amb,기술,0.05,35,모호 문장
A263,온라인 수업이(가) 일부 개선됐으나 문제 해결은 미비하다.,amb,교육,-0.13,32,모호 문장
A078,쓰레기 처리 시스템이(가) 개편됐지만 사용자 평가는 나뉘고 있다.,amb,생활,-0.12,36,모호 문장
P142,운동 프로그램이(가) 안정세를 보이고 있다.,pos,건강,0.74,24,긍정 문장
N108,데이터 분석 시스템에서 오류가 발생해 서비스가 중단됐다.,neg,과학,-0.81,31,부정 문장
A064,대중교통이(가) 활성화됐지만 운영 방식에는 의문이 남는다.,amb,생활,-0.03,32,모호 문장
P009,병원 예약 시스템이(가) 개선되어 주민들의 만족도가 높아졌다.,pos,건강,0.99,34,긍정 문장
A265,가격 안정 대책이(가) 개편됐지만 사용자 평가는 나뉘고 있다.,amb,경제,-0.08,34,모호 문장
N001,쓰레기 처리 시스템이(가) 취소되어 아쉬움을 남겼다.,neg,생활,-0.8,29,부정 문장
P124,전시 프로그램이(가) 정상화되어 서비스가 안정됐다.,pos,여가,0.81,28,긍정 문장
A021,클라우드 서비스이(가) 호평과 비판을 동시에 받고 있다.,amb,기술,-0.02,31,모호 문장
N148,공공시설이(가) 불안정해 사용자들이 혼란을 겪고 있다.,neg,생활,-0.9,30,부정 문장
P129,연구 프로젝트이(가) 새롭게 개편되어 이용이 편리해졌다.,pos,과학,1.0,31,긍정 문장
A227,데이터 분석 시스템이(가) 일부 개선됐으나 문제 해결은 미비하다.,amb,과학,-0.05,36,모호 문장
A050,쓰레기 처리 시스템이(가) 호평과 비판을 동시에 받고 있다.,amb,생활,0.13,33,모호 문장
A286,소비 지원 정책이(가) 관심을 끌었지만 논란도 함께 제기됐다.,amb,경제,0.09,34,모호 문장
N037,병원 예약 시스템이(가) 논란에 휩싸였다.,neg,건강,-0.76,23,부정 문장
A129,연구 프로젝트이(가) 개선됐지만 일부 불편이 남아 있다.,amb,과학,0.03,31,모호 문장
N063,보안 시스템이(가) 파손돼 이용이 제한됐다.,neg,기술,-1.0,24,부정 문장
A287,클라우드 서비스이(가) 호평과 비판을 동시에 받고 있다.,amb,기술,-0.05,31,모호 문장
A083,고용 지표이(가) 기대를 모았으나 반응은 엇갈리고 있다.,amb,경제,-0.13,31,모호 문장
A196,신형 스마트폰이(가) 일부 개선됐으나 문제 해결은 미비하다.,amb,기술,-0.09,33,모호 문장
N130,교수 평가 제도이(가) 지연되면서 시민 불편이 커지고 있다.,neg,교육,-0.94,33,부정 문장
N081,장학 제도이(가) 논란에 휩싸였다.,neg,교육,-0.88,19,부정 문장
A279,가격 안정 대책이(가) 확장됐으나 비용 증가가 우려된다.,amb,경제,-0.01,31,모호 문장
A215,체험 행사이(가) 기대를 모았으나 반응은 엇갈리고 있다.,amb,여가,0.12,31,모호 문장
P136,신형 장비이(가) 꾸준히 증가하고 있다.,pos,과학,0.97,22,긍정 문장
N145,야외 영화제이(가) 감소세를 보이고 있다.,neg,여가,-0.99,23,부정 문장
A039,교수 평가 제도이(가) 확장됐으나 비용 증가가 우려된다.,amb,교육,-0.09,31,모호 문장
P101,기술 지원 프로그램을(를) 통해 지역 경제가 활기를 되찾고 있다.,pos,과학,0.71,36,긍정 문장
N096,야외 영화제이(가) 취소되어 아쉬움을 남겼다.,neg,여가,-0.92,25,부정 문장
P026,체험 행사이(가) 큰 성과를 거두었다.,pos,여가,0.91,21,긍정 문장
N035,보안 시스템이(가) 부진을 면치 못하고 있다.,neg,기술,-0.73,25,부정 문장
A208,관광 패스이(가) 도입됐지만 효과는 아직 불분명하다.,amb,여가,-0.01,29,모호 문장
A055,소비 지원 정책이(가) 개편됐지만 사용자 평가는 나뉘고 있다.,amb,경제,-0.12,34,모호 문장
A066,신형 장비이(가) 개선됐지만 일부 불편이 남아 있다.,amb,과학,-0.03,29,모호 문장
A180,야외 영화제이(가) 도입됐지만 효과는 아직 불분명하다.,amb,여가,0.09,30,모호 문장
A195,가격 안정 대책이(가) 관심을 끌었지만 논란도 함께 제기됐다.,amb,경제,0.04,34,모호 문장
A167,지역 상권이(가) 확장됐으나 비용 증가가 우려된다.,amb,경제,0.12,28,모호 문장
P128,식단 관리 정책이(가) 도입되어 업무 효율이 높아졌다.,pos,건강,0.85,30,긍정 문장
A284,교수 평가 제도이(가) 개편됐지만 사용자 평가는 나뉘고 있다.,amb,교육,-0.05,34,모호 문장
A169,주차장이(가) 활성화됐지만 운영 방식에는 의문이 남는다.,amb,생활,0.07,31,모호 문장
