id,text,type,topic,target_valence,length_char,notes
P001,자전거길 확대 완료,pos,생활,0.92,10,
P002,근처 병원 정상화 된다,pos,건강,0.92,12,
P003,분석 소프트 호조 완료,pos,과학,0.88,12,
P004,야간 강좌 개선 완료,pos,교육,0.77,11,
P005,야외 영화 개편 완료,pos,여가,0.87,11,
P006,임대료 협의 호조 강화,pos,경제,0.77,12,
P007,배터리 효율 도입 활성,pos,기술,0.96,12,
P008,공동주택 안정 안착,pos,생활,0.83,10,
P009,보건소 안정 된다,pos,건강,0.99,9,
P010,관측 데이터 확대 완료,pos,과학,0.81,12,
P011,장학 제도 확정 상승,pos,교육,0.78,11,
P012,도시 산책 증가 상승,pos,여가,0.74,11,
P013,생활 물가 확대 상승,pos,경제,0.79,11,
P014,저장 성능 개편 활성,pos,기술,0.81,11,
P015,도서관 확대 완료,pos,생활,0.9,9,
P016,수면 습관 도입 완료,pos,건강,0.96,11,
P017,연구 성과 지원 시작,pos,과학,0.84,11,
P018,장학 제도 안정 시작,pos,교육,0.81,11,
P019,체험 부스 도입 안착,pos,여가,0.98,11,
P020,임대료 협의 확대 상승,pos,경제,0.89,12,
P021,배터리 효율 정상화 된다,pos,기술,0.84,13,
P022,주민센터 호조 된다,pos,생활,0.91,10,
P023,수면 습관 개선 된다,pos,건강,0.95,11,
P024,관측 데이터 지원 시작,pos,과학,0.72,12,
P025,실습 공간 확정 된다,pos,교육,0.9,11,
P026,소규모 전시 증가 된다,pos,여가,0.78,12,
P027,창업 지원 호조 상승,pos,경제,0.78,11,
P028,배터리 효율 지원 상승,pos,기술,0.82,12,
P029,도서관 안정 상승,pos,생활,0.85,9,
P030,수면 습관 개선 활성,pos,건강,0.73,11,
P031,분석 소프트 안정 활성,pos,과학,0.9,12,
P032,실습 공간 확대 강화,pos,교육,0.81,11,
P033,소규모 전시 호조 시작,pos,여가,0.99,12,
P034,지역 상권 확대 안착,pos,경제,0.97,11,
P035,네트워크 확정 완료,pos,기술,0.79,10,
P036,도서관 증가 완료,pos,생활,0.99,9,
P037,스트레스 관리 도입 상승,pos,건강,0.93,13,
P038,연구 지원 확대 활성,pos,과학,0.89,11,
P039,교양 강의 호조 상승,pos,교육,0.76,11,
P040,공원 공연 안정 상승,pos,여가,0.99,11,
P041,소비 쿠폰 개선 상승,pos,경제,0.8,11,
P042,신형 기기 확대 시작,pos,기술,0.96,11,
P043,공동주택 도입 된다,pos,생활,0.72,10,
P044,운동 프로그램 확대 완료,pos,건강,0.92,13,
P045,연구 성과 호조 활성,pos,과학,0.74,11,
P046,교양 강의 증가 상승,pos,교육,0.75,11,
P047,야외 영화 개편 강화,pos,여가,0.99,11,
P048,소비 쿠폰 정상화 안착,pos,경제,0.79,12,
P049,저장 성능 확정 강화,pos,기술,0.97,11,
P050,대중교통 확대 된다,pos,생활,0.77,10,
P051,보건소 개선 상승,pos,건강,0.87,9,
P052,연구 지원 정상화 완료,pos,과학,0.72,12,
P053,교양 강의 개선 된다,pos,교육,0.72,11,
P054,도시 산책 확정 완료,pos,여가,0.85,11,
P055,가격 안정 증가 된다,pos,경제,0.86,11,
P056,저장 성능 개편 상승,pos,기술,0.84,11,
P057,공동주택 증가 활성,pos,생활,0.82,10,
P058,검진 서비스 확대 안착,pos,건강,0.83,12,
P059,실험 시설 지원 강화,pos,과학,0.96,11,
P060,야간 강좌 확대 완료,pos,교육,0.82,11,
P061,공원 공연 확대 된다,pos,여가,0.76,11,
P062,소비 쿠폰 증가 된다,pos,경제,0.83,11,
P063,네트워크 증가 된다,pos,기술,0.96,10,
P064,동네 공원 증가 활성,pos,생활,0.96,11,
P065,연구 지원 개선 완료,pos,과학,0.98,11,
P066,도서 대출 안정 강화,pos,교육,0.85,11,
P067,주말 행사 지원 완료,pos,여가,0.75,11,
P068,지역 상권 지원 시작,pos,경제,0.98,11,
P069,보안 기능 도입 강화,pos,기술,0.91,11,
P070,자전거길 호조 안착,pos,생활,0.92,10,
P071,근처 병원 정상화 시작,pos,건강,0.77,12,
P072,연구 성과 개편 안착,pos,과학,0.86,11,
P073,교양 강의 확정 완료,pos,교육,0.72,11,
P074,소규모 전시 호조 활성,pos,여가,0.86,12,
P075,지역 상권 호조 완료,pos,경제,0.96,11,
P076,신형 기기 개편 완료,pos,기술,0.9,11,
P077,도서관 지원 완료,pos,생활,0.98,9,
P078,운동 프로그램 정상화 상승,pos,건강,0.88,14,
P079,연구 지원 확대 강화,pos,과학,0.9,11,
P080,실습 공간 호조 시작,pos,교육,0.98,11,
P081,주말 행사 확정 된다,pos,여가,0.78,11,
P082,창업 지원 도입 강화,pos,경제,0.79,11,
P083,신형 기기 개선 강화,pos,기술,0.89,11,
P084,쓰레기 분리 확대 완료,pos,생활,0.86,12,
P085,운동 프로그램 도입 된다,pos,건강,0.98,13,
P086,연구 성과 정상화 시작,pos,과학,0.79,12,
P087,학습 동아리 호조 안착,pos,교육,0.79,12,
P088,체험 부스 호조 완료,pos,여가,0.9,11,
P089,소비 쿠폰 도입 안착,pos,경제,0.73,11,
P090,업데이트 도입 완료,pos,기술,0.97,10,
P091,자전거길 호조 된다,pos,생활,0.78,10,
P092,운동 프로그램 정상화 안착,pos,건강,0.8,14,
P093,분석 소프트 도입 상승,pos,과학,0.85,12,
P094,야간 강좌 확대 안착,pos,교육,0.83,11,
P095,공원 공연 개선 완료,pos,여가,0.8,11,
P096,창업 지원 도입 된다,pos,경제,0.92,11,
P097,동네 공원 안정 상승,pos,생활,0.71,11,
P098,보건소 개편 상승,pos,건강,0.74,9,
P099,신규 장비 개선 시작,pos,과학,0.81,11,
P100,야간 강좌 확정 된다,pos,교육,0.9,11,
P101,체험 부스 확대 시작,pos,여가,0.93,11,
P102,생활 물가 개편 안착,pos,경제,0.75,11,
P103,업데이트 안정 활성,pos,기술,0.94,10,
P104,대중교통 개선 된다,pos,생활,0.92,10,
P105,보건소 지원 활성,pos,건강,0.9,9,
P106,분석 소프트 정상화 시작,pos,과학,0.75,13,
P107,교양 강의 확대 강화,pos,교육,0.96,11,
P108,소규모 전시 정상화 된다,pos,여가,0.94,13,
P109,생활 물가 확정 시작,pos,경제,0.95,11,
P110,업데이트 정상화 완료,pos,기술,0.9,11,
P111,대중교통 확정 시작,pos,생활,0.96,10,
P112,수면 습관 도입 시작,pos,건강,0.89,11,
P113,실험 시설 호조 시작,pos,과학,0.98,11,
P114,야간 강좌 도입 된다,pos,교육,0.87,11,
P115,가격 안정 확정 강화,pos,경제,0.88,11,
P116,배터리 효율 확대 강화,pos,기술,0.97,12,
P117,도서관 도입 완료,pos,생활,0.91,9,
P118,검진 서비스 호조 활성,pos,건강,0.86,12,
P119,교양 강의 확정 상승,pos,교육,0.79,11,
P120,도시 산책 도입 상승,pos,여가,0.79,11,
P121,생활 물가 확정 강화,pos,경제,0.91,11,
P122,배터리 효율 안정 된다,pos,기술,0.83,12,
P123,대중교통 안정 상승,pos,생활,0.87,10,
P124,건강 식단 호조 활성,pos,건강,0.7,11,
P125,관측 데이터 정상화 강화,pos,과학,0.94,13,
P126,실습 공간 확정 강화,pos,교육,0.83,11,
P127,체험 부스 정상화 상승,pos,여가,0.84,12,
P128,임대료 협의 안정 안착,pos,경제,0.73,12,
P129,배터리 효율 개편 시작,pos,기술,0.73,12,
P130,공동주택 정상화 안착,pos,생활,0.79,11,
P131,수면 습관 정상화 된다,pos,건강,0.71,12,
P132,신규 장비 증가 상승,pos,과학,0.95,11,
P133,야간 강좌 증가 강화,pos,교육,0.97,11,
P134,야외 영화 정상화 안착,pos,여가,0.91,12,
P135,생활 물가 지원 된다,pos,경제,0.74,11,
P136,저장 성능 개선 활성,pos,기술,0.96,11,
P137,동네 공원 지원 된다,pos,생활,0.75,11,
P138,스트레스 관리 호조 강화,pos,건강,0.72,13,
P139,신규 장비 확대 강화,pos,과학,0.74,11,
P140,학습 동아리 호조 상승,pos,교육,0.88,12,
P141,소규모 전시 개편 활성,pos,여가,0.92,12,
P142,소비 쿠폰 지원 활성,pos,경제,0.97,11,
P143,보안 기능 안정 안착,pos,기술,0.96,11,
P144,대중교통 도입 활성,pos,생활,0.77,10,
P145,스트레스 관리 도입 활성,pos,건강,0.93,13,
P146,실험 시설 정상화 시작,pos,과학,0.83,12,
P147,교양 강의 도입 된다,pos,교육,0.78,11,
P148,공원 공연 호조 완료,pos,여가,0.74,11,
P149,창업 지원 지원 안착,pos,경제,0.75,11,
P150,업데이트 확대 강화,pos,기술,0.82,10,
