id,text,type,topic,target_valence,length_char,notes
A193,"헬스장 정책, 만족도 개선… 다만 불편 호소",amb,건강,0.1,24,양가 단서
N079,장학 축소 감소 확인,neg,교육,-0.9,11,
N064,약품 수급 부진 우려,neg,건강,-0.99,11,
N093,우천 예보 부진 지속,neg,여가,-0.96,11,
P057,공동주택 증가 활성,pos,생활,0.82,10,
A215,"도서관 규정, 접근성 향상… 다만 불편 호소",amb,교육,0.08,24,양가 단서
P125,관측 데이터 정상화 강화,pos,과학,0.94,13,
P088,체험 부스 호조 완료,pos,여가,0.9,11,
N049,도로 공사 취소 확인,neg,생활,-0.92,11,
N073,행사 취소 중단 증가,neg,여가,-0.75,11,
A091,"평가 제도, 편의 상승… 다만 제약 증가",amb,교육,0.11,22,양가 단서
N062,서버 장애 악화 확인,neg,기술,-0.95,11,
A289,"헬스장 정책, 만족도 개선… 다만 제약 증가",amb,건강,0.09,24,양가 단서
P090,업데이트 도입 완료,pos,기술,0.97,10,
A123,"야외 공연, 효율 증가… 다만 비용 인상",amb,여가,-0.02,22,양가 단서
P091,자전거길 호조 된다,pos,생활,0.78,10,
N118,예산 부족 중단 예정,neg,과학,-0.73,11,
N108,서버 장애 파손 증가,neg,기술,-0.74,11,
A029,"도서관 규정, 호응 확대… 다만 제약 증가",amb,교육,0.11,23,양가 단서
N120,환율 불안 연기 증가,neg,경제,-0.84,11,
A059,"공원 시설, 편의 상승… 다만 제약 증가",amb,생활,0.11,22,양가 단서
N133,비용 증가 파손 지속,neg,경제,-0.85,11,
P098,보건소 개편 상승,pos,건강,0.74,9,
P013,생활 물가 확대 상승,pos,경제,0.79,11,
N072,등록금 인상 파손 지속,neg,교육,-0.92,12,
N113,행사 취소 부진 확인,neg,여가,-0.79,11,
A192,"지역 축제, 호응 확대… 다만 제약 증가",amb,생활,0.05,22,양가 단서
N145,강의 취소 연기 예정,neg,교육,-0.97,11,
N040,매출 부진 논란 증가,neg,경제,-0.93,11,
N110,감염 우려 취소 발생,neg,건강,-0.81,11,
A194,"데이터 공개, 접근성 향상… 다만 혼잡 우려",amb,과학,-0.11,24,양가 단서
N089,소음 민원 지연 지속,neg,생활,-0.88,11,
P119,교양 강의 확정 상승,pos,교육,0.79,11,
A294,"비용 구조, 접근성 향상… 다만 학습 곡선",amb,경제,0.06,23,양가 단서
N087,우천 예보 연기 예정,neg,여가,-0.74,11,
A008,"연구 프로젝트, 편의 상승… 다만 비용 인상",amb,과학,-0.11,24,양가 단서
A079,"데이터 공개, 편의 상승… 다만 혼잡 우려",amb,과학,-0.12,23,양가 단서
A121,"검진 제도, 효율 증가… 다만 제약 증가",amb,건강,0.07,22,양가 단서
A067,"도서관 규정, 호응 확대… 다만 혼잡 우려",amb,교육,0.03,23,양가 단서
A052,"새 단지, 편의 상승… 다만 제약 증가",amb,생활,0.11,21,양가 단서
A049,"야외 공연, 편의 상승… 다만 제약 증가",amb,여가,0.07,22,양가 단서
A259,"연구실 운영, 효율 증가… 다만 혼잡 우려",amb,교육,-0.13,23,양가 단서
A296,"공원 시설, 접근성 향상… 다만 불편 호소",amb,생활,-0.05,23,양가 단서
A172,"모바일 기기, 효율 증가… 다만 혼잡 우려",amb,기술,0.09,23,양가 단서
P115,가격 안정 확정 강화,pos,경제,0.88,11,
A276,"공원 시설, 효율 증가… 다만 혼잡 우려",amb,생활,-0.14,22,양가 단서
N150,장비 고장 파손 발생,neg,과학,-0.71,11,
A293,"데이터 공개, 만족도 개선… 다만 학습 곡선",amb,과학,-0.14,24,양가 단서
A203,"가격 정책, 호응 확대… 다만 비용 인상",amb,경제,-0.15,22,양가 단서
