id,text,type,topic,target_valence,length_char,notes
N001,소음 민원 부진 예정,neg,생활,-0.98,11,
N002,감염 우려 논란 지속,neg,건강,-0.72,11,
N003,실험 일정 논란 예정,neg,과학,-1.0,11,
N004,장학 축소 연기 예정,neg,교육,-0.74,11,
N005,예약 폭주 취소 증가,neg,여가,-0.78,11,
N006,비용 증가 중단 예정,neg,경제,-0.93,11,
N007,속도 저하 부진 발생,neg,기술,-0.88,11,
N008,가로등 논란 증가,neg,생활,-0.95,9,
N009,감염 우려 악화 지속,neg,건강,-0.84,11,
N010,예산 부족 지연 발생,neg,과학,-0.81,11,
N011,실습 지연 부진 확인,neg,교육,-0.98,11,
N012,예약 폭주 파손 확인,neg,여가,-0.86,11,
N013,공급 차질 논란 우려,neg,경제,-0.77,11,
N014,속도 저하 연기 발생,neg,기술,-0.86,11,
N015,가로등 취소 발생,neg,생활,-0.7,9,
N016,의료 인력 중단 증가,neg,건강,-0.98,11,
N017,실험 일정 지연 확인,neg,과학,-0.94,11,
N018,강의 취소 악화 확인,neg,교육,-0.96,11,
N019,행사 취소 중단 예정,neg,여가,-0.79,11,
N020,공급 차질 악화 지속,neg,경제,-0.82,11,
N021,서버 장애 악화 우려,neg,기술,-0.97,11,
N022,도로 공사 연기 지속,neg,생활,-0.8,11,
N023,감염 우려 논란 증가,neg,건강,-0.94,11,
N024,출시 지연 중단 발생,neg,과학,-0.79,11,
N025,장학 축소 감소 지속,neg,교육,-0.77,11,
N026,시설 점검 취소 예정,neg,여가,-0.8,11,
N027,물가 상승 취소 증가,neg,경제,-0.9,11,
N028,쓰레기 수거 부진 증가,neg,생활,-0.95,12,
N029,검사 지연 취소 증가,neg,건강,-0.92,11,
N030,출시 지연 부진 예정,neg,과학,-0.87,11,
N031,자료 오류 연기 우려,neg,교육,-0.74,11,
N032,행사 취소 연기 예정,neg,여가,-0.93,11,
N033,환율 불안 논란 우려,neg,경제,-0.99,11,
N034,호환 문제 악화 예정,neg,기술,-0.94,11,
N035,쓰레기 수거 파손 우려,neg,생활,-0.74,12,
N036,의료 인력 취소 발생,neg,건강,-0.85,11,
N037,장비 고장 감소 확인,neg,과학,-0.78,11,
N038,등록금 인상 취소 확인,neg,교육,-0.79,12,
N039,예약 폭주 부진 발생,neg,여가,-0.97,11,
N040,매출 부진 논란 증가,neg,경제,-0.93,11,
N041,버그 보고 파손 예정,neg,기술,-0.83,11,
N042,쓰레기 수거 논란 증가,neg,생활,-0.83,12,
N043,의료 인력 부진 우려,neg,건강,-0.91,11,
N044,장비 고장 감소 증가,neg,과학,-0.94,11,
N045,강의 취소 취소 증가,neg,교육,-0.94,11,
N046,우천 예보 부진 우려,neg,여가,-0.78,11,
N047,비용 증가 연기 발생,neg,경제,-0.75,11,
N048,호환 문제 중단 우려,neg,기술,-0.95,11,
N049,도로 공사 취소 확인,neg,생활,-0.92,11,
N050,진료 대기 취소 우려,neg,건강,-0.79,11,
N051,장비 고장 부진 발생,neg,과학,-0.74,11,
N052,자료 오류 연기 예정,neg,교육,-0.86,11,
N053,시설 점검 악화 발생,neg,여가,-0.92,11,
N054,환율 불안 감소 발생,neg,경제,-0.88,11,
N055,서버 장애 지연 확인,neg,기술,-0.96,11,
N056,소음 민원 연기 발생,neg,생활,-0.7,11,
N057,진료 대기 취소 예정,neg,건강,-0.82,11,
N058,출시 지연 중단 지속,neg,과학,-0.89,11,
N059,등록금 인상 연기 지속,neg,교육,-0.7,12,
N060,시설 점검 지연 지속,neg,여가,-0.71,11,
N061,물가 상승 중단 증가,neg,경제,-0.94,11,
N062,서버 장애 악화 확인,neg,기술,-0.95,11,
N063,도로 공사 악화 발생,neg,생활,-0.88,11,
N064,약품 수급 부진 우려,neg,건강,-0.99,11,
N065,데이터 손실 연기 증가,neg,과학,-0.74,12,
N066,강의 취소 중단 우려,neg,교육,-0.76,11,
N067,입장 제한 중단 예정,neg,여가,-0.97,11,
N068,매출 부진 악화 우려,neg,경제,-0.75,11,
N069,소음 민원 연기 예정,neg,생활,-0.96,11,
N070,의료 인력 논란 우려,neg,건강,-0.85,11,
N071,예산 부족 부진 발생,neg,과학,-0.82,11,
N072,등록금 인상 파손 지속,neg,교육,-0.92,12,
N073,행사 취소 중단 증가,neg,여가,-0.75,11,
N074,비용 증가 지연 증가,neg,경제,-0.75,11,
N075,버그 보고 지연 확인,neg,기술,-0.86,11,
N076,가로등 부진 우려,neg,생활,-0.95,9,
N077,약품 수급 논란 증가,neg,건강,-0.76,11,
N078,실험 일정 부진 우려,neg,과학,-0.88,11,
N079,장학 축소 감소 확인,neg,교육,-0.9,11,
N080,예약 폭주 연기 증가,neg,여가,-0.72,11,
N081,비용 증가 지연 예정,neg,경제,-0.97,11,
N082,호환 문제 파손 발생,neg,기술,-0.71,11,
N083,노후 시설 취소 발생,neg,생활,-0.8,11,
N084,약품 수급 부진 예정,neg,건강,-0.98,11,
N085,출시 지연 파손 지속,neg,과학,-0.77,11,
N086,등록금 인상 지연 확인,neg,교육,-0.92,12,
N087,우천 예보 연기 예정,neg,여가,-0.74,11,
N088,버그 보고 중단 증가,neg,기술,-0.95,11,
N089,소음 민원 지연 지속,neg,생활,-0.88,11,
N090,검사 지연 감소 예정,neg,건강,-0.72,11,
N091,장비 고장 부진 증가,neg,과학,-0.91,11,
N092,장학 축소 논란 예정,neg,교육,-0.71,11,
N093,우천 예보 부진 지속,neg,여가,-0.96,11,
N094,매출 부진 취소 증가,neg,경제,-0.74,11,
N095,서버 장애 연기 예정,neg,기술,-0.9,11,
N096,의료 인력 부진 확인,neg,건강,-0.87,11,
N097,예산 부족 파손 우려,neg,과학,-0.83,11,
N098,자료 오류 논란 예정,neg,교육,-0.72,11,
N099,우천 예보 중단 지속,neg,여가,-0.89,11,
N100,환율 불안 지연 우려,neg,경제,-0.78,11,
N101,속도 저하 논란 증가,neg,기술,-0.76,11,
N102,가로등 악화 예정,neg,생활,-0.71,9,
N103,검사 지연 취소 지속,neg,건강,-0.9,11,
N104,실험 일정 부진 발생,neg,과학,-0.84,11,
N105,등록금 인상 지연 증가,neg,교육,-0.96,12,
N106,우천 예보 감소 예정,neg,여가,-0.77,11,
N107,공급 차질 파손 지속,neg,경제,-0.79,11,
N108,서버 장애 파손 증가,neg,기술,-0.74,11,
N109,노후 시설 파손 증가,neg,생활,-0.78,11,
N110,감염 우려 취소 발생,neg,건강,-0.81,11,
N111,장비 고장 연기 확인,neg,과학,-0.78,11,
N112,등록금 인상 감소 증가,neg,교육,-0.79,12,
N113,행사 취소 부진 확인,neg,여가,-0.79,11,
N114,물가 상승 지연 우려,neg,경제,-0.76,11,
N115,호환 문제 파손 우려,neg,기술,-0.87,11,
N116,주차 공간 취소 예정,neg,생활,-0.83,11,
N117,검사 지연 악화 확인,neg,건강,-0.98,11,
N118,예산 부족 중단 예정,neg,과학,-0.73,11,
N119,실습 지연 중단 예정,neg,교육,-0.81,11,
N120,환율 불안 연기 증가,neg,경제,-0.84,11,
N121,서버 장애 부진 우려,neg,기술,-0.7,11,
N122,의료 인력 중단 예정,neg,건강,-0.74,11,
N123,실험 일정 중단 예정,neg,과학,-0.83,11,
N124,자료 오류 연기 증가,neg,교육,-0.91,11,
N125,예약 폭주 연기 발생,neg,여가,-0.83,11,
N126,물가 상승 부진 우려,neg,경제,-0.77,11,
N127,보안 취약 파손 확인,neg,기술,-0.81,11,
N128,소음 민원 연기 증가,neg,생활,-0.77,11,
N129,검사 지연 감소 증가,neg,건강,-0.81,11,
N130,데이터 손실 부진 발생,neg,과학,-0.83,12,
N131,실습 지연 감소 우려,neg,교육,-0.9,11,
N132,예약 폭주 악화 확인,neg,여가,-0.96,11,
N133,비용 증가 파손 지속,neg,경제,-0.85,11,
N134,호환 문제 악화 우려,neg,기술,-0.73,11,
N135,노후 시설 연기 증가,neg,생활,-0.74,11,
N136,진료 대기 부진 발생,neg,건강,-0.96,11,
N137,장비 고장 논란 지속,neg,과학,-0.89,11,
N138,등록금 인상 지연 우려,neg,교육,-0.84,12,
N139,예약 폭주 파손 증가,neg,여가,-0.78,11,
N140,공급 차질 논란 증가,neg,경제,-0.72,11,
N141,서버 장애 중단 예정,neg,기술,-0.99,11,
N142,소음 민원 파손 지속,neg,생활,-0.93,11,
N143,진료 대기 부진 증가,neg,건강,-0.91,11,
N144,예산 부족 감소 확인,neg,과학,-0.99,11,
N145,강의 취소 연기 예정,neg,교육,-0.97,11,
N146,우천 예보 취소 확인,neg,여가,-0.88,11,
N147,공급 차질 취소 예정,neg,경제,-0.82,11,
N148,보안 취약 논란 증가,neg,기술,-0.97,11,
N149,노후 시설 논란 우려,neg,생활,-0.99,11,
N150,장비 고장 파손 발생,neg,과학,-0.71,11,
