id,text,type,topic,target_valence,length_char,notes
N001,쓰레기 처리 시스템이(가) 취소되어 아쉬움을 남겼다.,neg,생활,-0.8,29,부정 문장
N002,병원 예약 시스템이(가) 중단되어 일정에 차질이 생겼다.,neg,건강,-0.84,31,부정 문장
N003,실험 계획이(가) 부진을 면치 못하고 있다.,neg,과학,-0.91,24,부정 문장
N004,온라인 수업이(가) 악화되며 우려의 목소리가 커지고 있다.,neg,교육,-0.9,32,부정 문장
N005,야외 영화제이(가) 감소세를 보이고 있다.,neg,여가,-0.7,23,부정 문장
N006,지역 상권에서 오류가 발생해 서비스가 중단됐다.,neg,경제,-1.0,26,부정 문장
N007,클라우드 서비스이(가) 감소세를 보이고 있다.,neg,기술,-0.95,25,부정 문장
N008,공공시설이(가) 감소세를 보이고 있다.,neg,생활,-0.74,21,부정 문장
N009,운동 프로그램이(가) 불안정해 사용자들이 혼란을 겪고 있다.,neg,건강,-0.93,33,부정 문장
N010,데이터 분석 시스템이(가) 지연되면서 시민 불편이 커지고 있다.,neg,과학,-0.86,35,부정 문장
N011,온라인 수업이(가) 논란에 휩싸였다.,neg,교육,-0.87,20,부정 문장
N012,체험 행사이(가) 파손돼 이용이 제한됐다.,neg,여가,-0.71,23,부정 문장
N013,고용 지표이(가) 파손돼 이용이 제한됐다.,neg,경제,-0.93,23,부정 문장
N014,클라우드 서비스이(가) 악화되며 우려의 목소리가 커지고 있다.,neg,기술,-0.89,34,부정 문장
N015,공공시설이(가) 파손돼 이용이 제한됐다.,neg,생활,-0.89,22,부정 문장
N016,병원 예약 시스템이(가) 논란에 휩싸였다.,neg,건강,-0.85,23,부정 문장
N017,신형 장비이(가) 악화되며 우려의 목소리가 커지고 있다.,neg,과학,-0.85,31,부정 문장
N018,교양 강좌이(가) 취소되어 아쉬움을 남겼다.,neg,교육,-0.92,24,부정 문장
N019,문화 공연에서 오류가 발생해 서비스가 중단됐다.,neg,여가,-0.88,26,부정 문장
N020,지역 상권이(가) 감소세를 보이고 있다.,neg,경제,-0.99,22,부정 문장
N021,클라우드 서비스이(가) 악화되며 우려의 목소리가 커지고 있다.,neg,기술,-0.97,34,부정 문장
N022,지역 축제에서 오류가 발생해 서비스가 중단됐다.,neg,생활,-0.8,26,부정 문장
N023,식단 관리 정책이(가) 감소세를 보이고 있다.,neg,건강,-0.77,25,부정 문장
N024,실험 계획에서 오류가 발생해 서비스가 중단됐다.,neg,과학,-0.91,26,부정 문장
N025,교육 커리큘럼에서 오류가 발생해 서비스가 중단됐다.,neg,교육,-0.99,28,부정 문장
N026,관광 패스이(가) 감소세를 보이고 있다.,neg,여가,-0.78,22,부정 문장
N027,고용 지표에서 오류가 발생해 서비스가 중단됐다.,neg,경제,-0.73,26,부정 문장
N028,네트워크 환경이(가) 불안정해 사용자들이 혼란을 겪고 있다.,neg,기술,-0.75,33,부정 문장
N029,공공시설이(가) 불안정해 사용자들이 혼란을 겪고 있다.,neg,생활,-0.76,30,부정 문장
N030,건강검진 제도이(가) 취소되어 아쉬움을 남겼다.,neg,건강,-0.99,26,부정 문장
N031,신형 장비이(가) 파손돼 이용이 제한됐다.,neg,과학,-0.71,23,부정 문장
N032,교수 평가 제도이(가) 중단되어 일정에 차질이 생겼다.,neg,교육,-0.83,30,부정 문장
N033,문화 공연이(가) 부진을 면치 못하고 있다.,neg,여가,-0.8,24,부정 문장
N034,창업 지원 제도이(가) 논란에 휩싸였다.,neg,경제,-1.0,22,부정 문장
N035,보안 시스템이(가) 부진을 면치 못하고 있다.,neg,기술,-0.73,25,부정 문장
N036,공공시설이(가) 부진을 면치 못하고 있다.,neg,생활,-0.98,23,부정 문장
N037,병원 예약 시스템이(가) 논란에 휩싸였다.,neg,건강,-0.76,23,부정 문장
N038,데이터 분석 시스템이(가) 악화되며 우려의 목소리가 커지고 있다.,neg,과학,-0.78,36,부정 문장
N039,온라인 수업이(가) 악화되며 우려의 목소리가 커지고 있다.,neg,교육,-0.78,32,부정 문장
N040,전시 프로그램이(가) 중단되어 일정에 차질이 생겼다.,neg,여가,-0.75,29,부정 문장
N041,지역 상권이(가) 중단되어 일정에 차질이 생겼다.,neg,경제,-0.73,27,부정 문장
N042,클라우드 서비스이(가) 지연되면서 시민 불편이 커지고 있다.,neg,기술,-0.81,33,부정 문장
N043,대중교통이(가) 취소되어 아쉬움을 남겼다.,neg,생활,-0.82,23,부정 문장
N044,운동 프로그램이(가) 논란에 휩싸였다.,neg,건강,-0.8,21,부정 문장
N045,데이터 분석 시스템이(가) 불안정해 사용자들이 혼란을 겪고 있다.,neg,과학,-0.83,36,부정 문장
N046,교양 강좌이(가) 중단되어 일정에 차질이 생겼다.,neg,교육,-0.98,27,부정 문장
N047,체험 행사이(가) 취소되어 아쉬움을 남겼다.,neg,여가,-0.79,24,부정 문장
N048,창업 지원 제도이(가) 논란에 휩싸였다.,neg,경제,-0.79,22,부정 문장
N049,클라우드 서비스이(가) 중단되어 일정에 차질이 생겼다.,neg,기술,-0.86,30,부정 문장
N050,공공시설이(가) 부진을 면치 못하고 있다.,neg,생활,-0.94,23,부정 문장
N051,보건소 서비스이(가) 중단되어 일정에 차질이 생겼다.,neg,건강,-0.99,29,부정 문장
N052,실험 계획이(가) 취소되어 아쉬움을 남겼다.,neg,과학,-0.75,24,부정 문장
N053,교수 평가 제도이(가) 논란에 휩싸였다.,neg,교육,-0.88,22,부정 문장
N054,야외 영화제이(가) 취소되어 아쉬움을 남겼다.,neg,여가,-0.83,25,부정 문장
N055,소비 지원 정책이(가) 부진을 면치 못하고 있다.,neg,경제,-0.92,27,부정 문장
N056,클라우드 서비스에서 오류가 발생해 서비스가 중단됐다.,neg,기술,-0.82,29,부정 문장
N057,지역 축제이(가) 논란에 휩싸였다.,neg,생활,-0.73,19,부정 문장
N058,운동 프로그램이(가) 악화되며 우려의 목소리가 커지고 있다.,neg,건강,-0.85,33,부정 문장
N059,실험 계획이(가) 감소세를 보이고 있다.,neg,과학,-0.99,22,부정 문장
N060,교양 강좌이(가) 중단되어 일정에 차질이 생겼다.,neg,교육,-0.8,27,부정 문장
N061,전시 프로그램이(가) 논란에 휩싸였다.,neg,여가,-0.78,21,부정 문장
N062,창업 지원 제도이(가) 파손돼 이용이 제한됐다.,neg,경제,-0.89,26,부정 문장
N063,보안 시스템이(가) 파손돼 이용이 제한됐다.,neg,기술,-1.0,24,부정 문장
N064,주차장이(가) 감소세를 보이고 있다.,neg,생활,-0.96,20,부정 문장
N065,건강검진 제도이(가) 지연되면서 시민 불편이 커지고 있다.,neg,건강,-0.73,32,부정 문장
N066,데이터 분석 시스템이(가) 논란에 휩싸였다.,neg,과학,-0.89,24,부정 문장
N067,교수 평가 제도이(가) 감소세를 보이고 있다.,neg,교육,-0.7,25,부정 문장
N068,관광 패스이(가) 취소되어 아쉬움을 남겼다.,neg,여가,-0.89,24,부정 문장
N069,창업 지원 제도이(가) 논란에 휩싸였다.,neg,경제,-0.74,22,부정 문장
N070,클라우드 서비스이(가) 취소되어 아쉬움을 남겼다.,neg,기술,-0.98,27,부정 문장
