id,text,type,topic,target_valence,length_char,notes
P001,주차장이(가) 확대되면서 시민들의 호응이 이어지고 있다.,pos,생활,0.82,31,긍정 문장
P002,보건소 서비스이(가) 새롭게 개편되어 이용이 편리해졌다.,pos,건강,0.95,31,긍정 문장
P003,연구 프로젝트이(가) 큰 성과를 거두었다.,pos,과학,0.87,23,긍정 문장
P004,교육 커리큘럼이(가) 정상화되어 서비스가 안정됐다.,pos,교육,0.71,28,긍정 문장
P005,전시 프로그램이(가) 꾸준히 증가하고 있다.,pos,여가,0.72,24,긍정 문장
P006,지역 상권을(를) 통해 지역 경제가 활기를 되찾고 있다.,pos,경제,0.83,31,긍정 문장
P007,네트워크 환경이(가) 새롭게 개편되어 이용이 편리해졌다.,pos,기술,0.98,31,긍정 문장
P008,지역 축제이(가) 개선되어 주민들의 만족도가 높아졌다.,pos,생활,0.87,30,긍정 문장
P009,병원 예약 시스템이(가) 개선되어 주민들의 만족도가 높아졌다.,pos,건강,0.99,34,긍정 문장
P010,연구 프로젝트을(를) 통해 지역 경제가 활기를 되찾고 있다.,pos,과학,0.96,33,긍정 문장
P011,장학 제도이(가) 꾸준히 증가하고 있다.,pos,교육,0.74,22,긍정 문장
P012,문화 공연이(가) 안정세를 보이고 있다.,pos,여가,0.79,22,긍정 문장
P013,소비 지원 정책이(가) 새롭게 개편되어 이용이 편리해졌다.,pos,경제,0.87,32,긍정 문장
P014,신형 스마트폰이(가) 큰 성과를 거두었다.,pos,기술,0.73,23,긍정 문장
P015,공공시설이(가) 안정세를 보이고 있다.,pos,생활,0.72,21,긍정 문장
P016,건강검진 제도이(가) 활성화되며 참여율이 높아졌다.,pos,건강,0.9,28,긍정 문장
P017,실험 계획이(가) 큰 성과를 거두었다.,pos,과학,0.84,21,긍정 문장
P018,교수 평가 제도이(가) 큰 성과를 거두었다.,pos,교육,0.79,24,긍정 문장
P019,야외 영화제이(가) 정상화되어 서비스가 안정됐다.,pos,여가,0.72,27,긍정 문장
P020,가격 안정 대책을(를) 통해 지역 경제가 활기를 되찾고 있다.,pos,경제,0.85,34,긍정 문장
P021,클라우드 서비스이(가) 활성화되며 참여율이 높아졌다.,pos,기술,0.79,29,긍정 문장
P022,공공시설이(가) 새롭게 개편되어 이용이 편리해졌다.,pos,생활,0.85,28,긍정 문장
P023,건강검진 제도이(가) 큰 성과를 거두었다.,pos,건강,0.75,23,긍정 문장
P024,실험 계획이(가) 꾸준히 증가하고 있다.,pos,과학,0.71,22,긍정 문장
P025,교양 강좌을(를) 통해 지역 경제가 활기를 되찾고 있다.,pos,교육,0.87,31,긍정 문장
P026,체험 행사이(가) 큰 성과를 거두었다.,pos,여가,0.91,21,긍정 문장
P027,고용 지표이(가) 활성화되며 참여율이 높아졌다.,pos,경제,0.87,26,긍정 문장
P028,업데이트 정책이(가) 새롭게 개편되어 이용이 편리해졌다.,pos,기술,0.95,31,긍정 문장
P029,주차장이(가) 활성화되며 참여율이 높아졌다.,pos,생활,0.91,24,긍정 문장
P030,보건소 서비스이(가) 개선되어 주민들의 만족도가 높아졌다.,pos,건강,0.92,32,긍정 문장
P031,데이터 분석 시스템이(가) 안정세를 보이고 있다.,pos,과학,1.0,27,긍정 문장
P032,교수 평가 제도이(가) 도입되어 업무 효율이 높아졌다.,pos,교육,0.91,30,긍정 문장
P033,체험 행사이(가) 개선되어 주민들의 만족도가 높아졌다.,pos,여가,0.98,30,긍정 문장
P034,가격 안정 대책이(가) 확대되면서 시민들의 호응이 이어지고 있다.,pos,경제,0.88,36,긍정 문장
P035,업데이트 정책이(가) 개선되어 주민들의 만족도가 높아졌다.,pos,기술,0.77,32,긍정 문장
P036,주차장이(가) 확대되면서 시민들의 호응이 이어지고 있다.,pos,생활,0.92,31,긍정 문장
P037,병원 예약 시스템이(가) 꾸준히 증가하고 있다.,pos,건강,0.98,26,긍정 문장
P038,실험 계획이(가) 새롭게 개편되어 이용이 편리해졌다.,pos,과학,0.75,29,긍정 문장
P039,교수 평가 제도을(를) 통해 지역 경제가 활기를 되찾고 있다.,pos,교육,0.78,34,긍정 문장
P040,야외 영화제이(가) 꾸준히 증가하고 있다.,pos,여가,0.96,23,긍정 문장
P041,가격 안정 대책이(가) 꾸준히 증가하고 있다.,pos,경제,1.0,25,긍정 문장
P042,업데이트 정책이(가) 정상화되어 서비스가 안정됐다.,pos,기술,0.75,28,긍정 문장
P043,대중교통이(가) 확대되면서 시민들의 호응이 이어지고 있다.,pos,생활,0.77,32,긍정 문장
P044,건강검진 제도이(가) 개선되어 주민들의 만족도가 높아졌다.,pos,건강,0.85,32,긍정 문장
P045,기술 지원 프로그램이(가) 확대되면서 시민들의 호응이 이어지고 있다.,pos,과학,0.78,38,긍정 문장
P046,교양 강좌이(가) 확대되면서 시민들의 호응이 이어지고 있다.,pos,교육,0.83,33,긍정 문장
P047,체험 행사이(가) 안정세를 보이고 있다.,pos,여가,0.87,22,긍정 문장
P048,소비 지원 정책을(를) 통해 지역 경제가 활기를 되찾고 있다.,pos,경제,0.99,34,긍정 문장
P049,보안 시스템이(가) 활성화되며 참여율이 높아졌다.,pos,기술,0.97,27,긍정 문장
P050,지역 축제이(가) 꾸준히 증가하고 있다.,pos,생활,0.82,22,긍정 문장
P051,병원 예약 시스템이(가) 새롭게 개편되어 이용이 편리해졌다.,pos,건강,0.84,33,긍정 문장
P052,실험 계획이(가) 개선되어 주민들의 만족도가 높아졌다.,pos,과학,0.76,30,긍정 문장
P053,온라인 수업이(가) 활성화되며 참여율이 높아졌다.,pos,교육,0.75,27,긍정 문장
P054,체험 행사이(가) 안정세를 보이고 있다.,pos,여가,0.72,22,긍정 문장
P055,지역 상권이(가) 안정세를 보이고 있다.,pos,경제,0.75,22,긍정 문장
P056,보안 시스템이(가) 큰 성과를 거두었다.,pos,기술,0.88,22,긍정 문장
P057,공공시설이(가) 정상화되어 서비스가 안정됐다.,pos,생활,0.88,25,긍정 문장
P058,건강검진 제도이(가) 도입되어 업무 효율이 높아졌다.,pos,건강,0.99,29,긍정 문장
P059,기술 지원 프로그램이(가) 큰 성과를 거두었다.,pos,과학,0.84,26,긍정 문장
P060,교양 강좌이(가) 활성화되며 참여율이 높아졌다.,pos,교육,1.0,26,긍정 문장
P061,전시 프로그램이(가) 활성화되며 참여율이 높아졌다.,pos,여가,0.85,28,긍정 문장
P062,지역 상권이(가) 확대되면서 시민들의 호응이 이어지고 있다.,pos,경제,0.73,33,긍정 문장
P063,클라우드 서비스이(가) 도입되어 업무 효율이 높아졌다.,pos,기술,0.84,30,긍정 문장
P064,대중교통을(를) 통해 지역 경제가 활기를 되찾고 있다.,pos,생활,0.71,30,긍정 문장
P065,식단 관리 정책이(가) 큰 성과를 거두었다.,pos,건강,0.74,24,긍정 문장
P066,기술 지원 프로그램이(가) 개선되어 주민들의 만족도가 높아졌다.,pos,과학,0.93,35,긍정 문장
P067,장학 제도이(가) 새롭게 개편되어 이용이 편리해졌다.,pos,교육,0.91,29,긍정 문장
P068,체험 행사을(를) 통해 지역 경제가 활기를 되찾고 있다.,pos,여가,0.81,31,긍정 문장
P069,소비 지원 정책이(가) 큰 성과를 거두었다.,pos,경제,0.93,24,긍정 문장
P070,네트워크 환경을(를) 통해 지역 경제가 활기를 되찾고 있다.,pos,기술,0.93,33,긍정 문장
P071,주차장이(가) 정상화되어 서비스가 안정됐다.,pos,생활,0.88,24,긍정 문장
P072,건강검진 제도이(가) 정상화되어 서비스가 안정됐다.,pos,건강,0.95,28,긍정 문장
P073,신형 장비이(가) 정상화되어 서비스가 안정됐다.,pos,과학,0.86,26,긍정 문장
P074,장학 제도이(가) 개선되어 주민들의 만족도가 높아졌다.,pos,교육,1.0,30,긍정 문장
P075,체험 행사이(가) 활성화되며 참여율이 높아졌다.,pos,여가,0.78,26,긍정 문장
