id,text,type,topic,target_valence,length_char,notes
A001,주차장이(가) 도입됐지만 효과는 아직 불분명하다.,amb,생활,-0.06,27,모호 문장
A002,식단 관리 정책이(가) 기대를 모았으나 반응은 엇갈리고 있다.,amb,건강,-0.14,34,모호 문장
A003,신형 장비이(가) 기대를 모았으나 반응은 엇갈리고 있다.,amb,과학,-0.01,31,모호 문장
A004,교수 평가 제도이(가) 개편됐지만 사용자 평가는 나뉘고 있다.,amb,교육,0.09,34,모호 문장
A005,전시 프로그램이(가) 관심을 끌었지만 논란도 함께 제기됐다.,amb,여가,-0.11,33,모호 문장
A006,창업 지원 제도이(가) 순조롭게 진행되다가 예기치 못한 변수가 생겼다.,amb,경제,-0.15,39,모호 문장
A007,클라우드 서비스이(가) 순조롭게 진행되다가 예기치 못한 변수가 생겼다.,amb,기술,0.03,39,모호 문장
A008,주차장이(가) 확장됐으나 비용 증가가 우려된다.,amb,생활,-0.01,26,모호 문장
A009,식단 관리 정책이(가) 기대를 모았으나 반응은 엇갈리고 있다.,amb,건강,0.0,34,모호 문장
A010,실험 계획이(가) 순조롭게 진행되다가 예기치 못한 변수가 생겼다.,amb,과학,-0.08,36,모호 문장
A011,교양 강좌이(가) 개선됐지만 일부 불편이 남아 있다.,amb,교육,-0.01,29,모호 문장
A012,관광 패스이(가) 확장됐으나 비용 증가가 우려된다.,amb,여가,-0.1,28,모호 문장
A013,창업 지원 제도이(가) 기대를 모았으나 반응은 엇갈리고 있다.,amb,경제,0.15,34,모호 문장
A014,클라우드 서비스이(가) 활성화됐지만 운영 방식에는 의문이 남는다.,amb,기술,-0.12,36,모호 문장
A015,공공시설이(가) 개편됐지만 사용자 평가는 나뉘고 있다.,amb,생활,-0.0,30,모호 문장
A016,병원 예약 시스템이(가) 순조롭게 진행되다가 예기치 못한 변수가 생겼다.,amb,건강,-0.08,40,모호 문장
A017,실험 계획이(가) 관심을 끌었지만 논란도 함께 제기됐다.,amb,과학,0.04,31,모호 문장
A018,온라인 수업이(가) 일부 개선됐으나 문제 해결은 미비하다.,amb,교육,0.1,32,모호 문장
A019,문화 공연이(가) 도입됐지만 효과는 아직 불분명하다.,amb,여가,-0.06,29,모호 문장
A020,고용 지표이(가) 도입됐지만 효과는 아직 불분명하다.,amb,경제,-0.04,29,모호 문장
A021,클라우드 서비스이(가) 호평과 비판을 동시에 받고 있다.,amb,기술,-0.02,31,모호 문장
A022,대중교통이(가) 호평과 비판을 동시에 받고 있다.,amb,생활,-0.08,27,모호 문장
A023,운동 프로그램이(가) 활성화됐지만 운영 방식에는 의문이 남는다.,amb,건강,-0.09,35,모호 문장
A024,연구 프로젝트이(가) 개편됐지만 사용자 평가는 나뉘고 있다.,amb,과학,-0.07,33,모호 문장
A025,온라인 수업이(가) 일부 개선됐으나 문제 해결은 미비하다.,amb,교육,0.01,32,모호 문장
A026,문화 공연이(가) 관심을 끌었지만 논란도 함께 제기됐다.,amb,여가,0.15,31,모호 문장
A027,지역 상권이(가) 개선됐지만 일부 불편이 남아 있다.,amb,경제,-0.01,29,모호 문장
A028,신형 스마트폰이(가) 관심을 끌었지만 논란도 함께 제기됐다.,amb,기술,0.12,33,모호 문장
A029,공공시설이(가) 도입됐지만 효과는 아직 불분명하다.,amb,생활,-0.08,28,모호 문장
A030,보건소 서비스이(가) 호평과 비판을 동시에 받고 있다.,amb,건강,0.03,30,모호 문장
A031,기술 지원 프로그램이(가) 호평과 비판을 동시에 받고 있다.,amb,과학,0.13,33,모호 문장
A032,장학 제도이(가) 일부 개선됐으나 문제 해결은 미비하다.,amb,교육,0.11,31,모호 문장
A033,전시 프로그램이(가) 활성화됐지만 운영 방식에는 의문이 남는다.,amb,여가,-0.07,35,모호 문장
A034,지역 상권이(가) 기대를 모았으나 반응은 엇갈리고 있다.,amb,경제,0.04,31,모호 문장
A035,네트워크 환경이(가) 확장됐으나 비용 증가가 우려된다.,amb,기술,-0.08,30,모호 문장
A036,주차장이(가) 확장됐으나 비용 증가가 우려된다.,amb,생활,-0.11,26,모호 문장
A037,건강검진 제도이(가) 도입됐지만 효과는 아직 불분명하다.,amb,건강,-0.14,31,모호 문장
A038,신형 장비이(가) 개선됐지만 일부 불편이 남아 있다.,amb,과학,0.1,29,모호 문장
A039,교수 평가 제도이(가) 확장됐으나 비용 증가가 우려된다.,amb,교육,-0.09,31,모호 문장
A040,체험 행사이(가) 기대를 모았으나 반응은 엇갈리고 있다.,amb,여가,-0.09,31,모호 문장
A041,창업 지원 제도이(가) 일부 개선됐으나 문제 해결은 미비하다.,amb,경제,-0.0,34,모호 문장
A042,업데이트 정책이(가) 기대를 모았으나 반응은 엇갈리고 있다.,amb,기술,0.09,33,모호 문장
A043,지역 축제이(가) 순조롭게 진행되다가 예기치 못한 변수가 생겼다.,amb,생활,0.04,36,모호 문장
A044,보건소 서비스이(가) 순조롭게 진행되다가 예기치 못한 변수가 생겼다.,amb,건강,-0.03,38,모호 문장
A045,데이터 분석 시스템이(가) 개편됐지만 사용자 평가는 나뉘고 있다.,amb,과학,0.15,36,모호 문장
A046,장학 제도이(가) 개편됐지만 사용자 평가는 나뉘고 있다.,amb,교육,0.14,31,모호 문장
A047,체험 행사이(가) 활성화됐지만 운영 방식에는 의문이 남는다.,amb,여가,0.12,33,모호 문장
A048,창업 지원 제도이(가) 개편됐지만 사용자 평가는 나뉘고 있다.,amb,경제,-0.14,34,모호 문장
A049,클라우드 서비스이(가) 호평과 비판을 동시에 받고 있다.,amb,기술,-0.03,31,모호 문장
A050,쓰레기 처리 시스템이(가) 호평과 비판을 동시에 받고 있다.,amb,생활,0.13,33,모호 문장
A051,병원 예약 시스템이(가) 순조롭게 진행되다가 예기치 못한 변수가 생겼다.,amb,건강,-0.02,40,모호 문장
A052,연구 프로젝트이(가) 개편됐지만 사용자 평가는 나뉘고 있다.,amb,과학,0.02,33,모호 문장
A053,장학 제도이(가) 관심을 끌었지만 논란도 함께 제기됐다.,amb,교육,0.08,31,모호 문장
A054,야외 영화제이(가) 개선됐지만 일부 불편이 남아 있다.,amb,여가,-0.13,30,모호 문장
A055,소비 지원 정책이(가) 개편됐지만 사용자 평가는 나뉘고 있다.,amb,경제,-0.12,34,모호 문장
A056,네트워크 환경이(가) 확장됐으나 비용 증가가 우려된다.,amb,기술,0.07,30,모호 문장
A057,대중교통이(가) 순조롭게 진행되다가 예기치 못한 변수가 생겼다.,amb,생활,-0.05,35,모호 문장
A058,건강검진 제도이(가) 일부 개선됐으나 문제 해결은 미비하다.,amb,건강,-0.1,33,모호 문장
A059,연구 프로젝트이(가) 기대를 모았으나 반응은 엇갈리고 있다.,amb,과학,-0.03,33,모호 문장
A060,온라인 수업이(가) 도입됐지만 효과는 아직 불분명하다.,amb,교육,-0.11,30,모호 문장
A061,문화 공연이(가) 관심을 끌었지만 논란도 함께 제기됐다.,amb,여가,-0.06,31,모호 문장
A062,고용 지표이(가) 개편됐지만 사용자 평가는 나뉘고 있다.,amb,경제,-0.12,31,모호 문장
A063,네트워크 환경이(가) 순조롭게 진행되다가 예기치 못한 변수가 생겼다.,amb,기술,0.04,38,모호 문장
A064,대중교통이(가) 활성화됐지만 운영 방식에는 의문이 남는다.,amb,생활,-0.03,32,모호 문장
A065,건강검진 제도이(가) 관심을 끌었지만 논란도 함께 제기됐다.,amb,건강,-0.1,33,모호 문장
A066,신형 장비이(가) 개선됐지만 일부 불편이 남아 있다.,amb,과학,-0.03,29,모호 문장
A067,교육 커리큘럼이(가) 순조롭게 진행되다가 예기치 못한 변수가 생겼다.,amb,교육,-0.03,38,모호 문장
A068,문화 공연이(가) 순조롭게 진행되다가 예기치 못한 변수가 생겼다.,amb,여가,-0.08,36,모호 문장
A069,소비 지원 정책이(가) 개선됐지만 일부 불편이 남아 있다.,amb,경제,0.12,32,모호 문장
A070,보안 시스템이(가) 확장됐으나 비용 증가가 우려된다.,amb,기술,-0.11,29,모호 문장
A071,지역 축제이(가) 관심을 끌었지만 논란도 함께 제기됐다.,amb,생활,0.02,31,모호 문장
A072,운동 프로그램이(가) 개편됐지만 사용자 평가는 나뉘고 있다.,amb,건강,-0.06,33,모호 문장
A073,신형 장비이(가) 개편됐지만 사용자 평가는 나뉘고 있다.,amb,과학,-0.03,31,모호 문장
A074,장학 제도이(가) 관심을 끌었지만 논란도 함께 제기됐다.,amb,교육,0.0,31,모호 문장
A075,야외 영화제이(가) 개선됐지만 일부 불편이 남아 있다.,amb,여가,-0.15,30,모호 문장
A076,창업 지원 제도이(가) 관심을 끌었지만 논란도 함께 제기됐다.,amb,경제,-0.08,34,모호 문장
A077,네트워크 환경이(가) 관심을 끌었지만 논란도 함께 제기됐다.,amb,기술,0.1,33,모호 문장
A078,쓰레기 처리 시스템이(가) 개편됐지만 사용자 평가는 나뉘고 있다.,amb,생활,-0.12,36,모호 문장
A079,건강검진 제도이(가) 확장됐으나 비용 증가가 우려된다.,amb,건강,-0.02,30,모호 문장
A080,연구 프로젝트이(가) 관심을 끌었지만 논란도 함께 제기됐다.,amb,과학,0.0,33,모호 문장
A081,교양 강좌이(가) 개선됐지만 일부 불편이 남아 있다.,amb,교육,0.04,29,모호 문장
A082,문화 공연이(가) 확장됐으나 비용 증가가 우려된다.,amb,여가,0.08,28,모호 문장
A083,고용 지표이(가) 기대를 모았으나 반응은 엇갈리고 있다.,amb,경제,-0.13,31,모호 문장
A084,네트워크 환경이(가) 개편됐지만 사용자 평가는 나뉘고 있다.,amb,기술,0.05,33,모호 문장
A085,대중교통이(가) 개선됐지만 일부 불편이 남아 있다.,amb,생활,0.11,28,모호 문장
A086,식단 관리 정책이(가) 기대를 모았으나 반응은 엇갈리고 있다.,amb,건강,-0.09,34,모호 문장
A087,실험 계획이(가) 도입됐지만 효과는 아직 불분명하다.,amb,과학,0.14,29,모호 문장
A088,온라인 수업이(가) 호평과 비판을 동시에 받고 있다.,amb,교육,-0.13,29,모호 문장
A089,체험 행사이(가) 활성화됐지만 운영 방식에는 의문이 남는다.,amb,여가,0.08,33,모호 문장
A090,소비 지원 정책이(가) 확장됐으나 비용 증가가 우려된다.,amb,경제,0.12,31,모호 문장
A091,클라우드 서비스이(가) 관심을 끌었지만 논란도 함께 제기됐다.,amb,기술,-0.11,34,모호 문장
A092,지역 축제이(가) 관심을 끌었지만 논란도 함께 제기됐다.,amb,생활,-0.09,31,모호 문장
A093,운동 프로그램이(가) 활성화됐지만 운영 방식에는 의문이 남는다.,amb,건강,0.0,35,모호 문장
A094,데이터 분석 시스템이(가) 확장됐으나 비용 증가가 우려된다.,amb,과학,-0.14,33,모호 문장
A095,온라인 수업이(가) 개편됐지만 사용자 평가는 나뉘고 있다.,amb,교육,-0.1,32,모호 문장
A096,체험 행사이(가) 확장됐으나 비용 증가가 우려된다.,amb,여가,0.12,28,모호 문장
A097,소비 지원 정책이(가) 도입됐지만 효과는 아직 불분명하다.,amb,경제,-0.12,32,모호 문장
A098,네트워크 환경이(가) 개선됐지만 일부 불편이 남아 있다.,amb,기술,0.04,31,모호 문장
A099,주차장이(가) 관심을 끌었지만 논란도 함께 제기됐다.,amb,생활,0.02,29,모호 문장
A100,식단 관리 정책이(가) 기대를 모았으나 반응은 엇갈리고 있다.,amb,건강,-0.07,34,모호 문장
A101,기술 지원 프로그램이(가) 개편됐지만 사용자 평가는 나뉘고 있다.,amb,과학,0.07,36,모호 문장
A102,장학 제도이(가) 도입됐지만 효과는 아직 불분명하다.,amb,교육,-0.04,29,모호 문장
A103,체험 행사이(가) 활성화됐지만 운영 방식에는 의문이 남는다.,amb,여가,-0.11,33,모호 문장
A104,가격 안정 대책이(가) 기대를 모았으나 반응은 엇갈리고 있다.,amb,경제,-0.02,34,모호 문장
A105,신형 스마트폰이(가) 활성화됐지만 운영 방식에는 의문이 남는다.,amb,기술,0.07,35,모호 문장
A106,공공시설이(가) 도입됐지만 효과는 아직 불분명하다.,amb,생활,0.1,28,모호 문장
A107,운동 프로그램이(가) 도입됐지만 효과는 아직 불분명하다.,amb,건강,0.04,31,모호 문장
A108,기술 지원 프로그램이(가) 확장됐으나 비용 증가가 우려된다.,amb,과학,0.07,33,모호 문장
A109,교양 강좌이(가) 호평과 비판을 동시에 받고 있다.,amb,교육,-0.11,28,모호 문장
A110,관광 패스이(가) 개편됐지만 사용자 평가는 나뉘고 있다.,amb,여가,-0.02,31,모호 문장
A111,가격 안정 대책이(가) 개선됐지만 일부 불편이 남아 있다.,amb,경제,-0.11,32,모호 문장
A112,신형 스마트폰이(가) 활성화됐지만 운영 방식에는 의문이 남는다.,amb,기술,0.05,35,모호 문장
A113,공공시설이(가) 개선됐지만 일부 불편이 남아 있다.,amb,생활,-0.15,28,모호 문장
A114,운동 프로그램이(가) 도입됐지만 효과는 아직 불분명하다.,amb,건강,-0.12,31,모호 문장
A115,데이터 분석 시스템이(가) 일부 개선됐으나 문제 해결은 미비하다.,amb,과학,-0.08,36,모호 문장
A116,교육 커리큘럼이(가) 도입됐지만 효과는 아직 불분명하다.,amb,교육,0.03,31,모호 문장
A117,야외 영화제이(가) 확장됐으나 비용 증가가 우려된다.,amb,여가,0.04,29,모호 문장
A118,창업 지원 제도이(가) 순조롭게 진행되다가 예기치 못한 변수가 생겼다.,amb,경제,-0.11,39,모호 문장
A119,신형 스마트폰이(가) 순조롭게 진행되다가 예기치 못한 변수가 생겼다.,amb,기술,-0.01,38,모호 문장
A120,공공시설이(가) 순조롭게 진행되다가 예기치 못한 변수가 생겼다.,amb,생활,0.11,35,모호 문장
A121,운동 프로그램이(가) 개편됐지만 사용자 평가는 나뉘고 있다.,amb,건강,0.09,33,모호 문장
